,port_id,k
0,0,[271000 261800 270900 252329 252310 252100]
1,1,[270119 270900 252100 270112 270210 271000 260111 252310 151190]
2,2,[271000 100199]
3,3,[271000 252329 252310]
4,4,"[271000 270119 270112 270900 260111 100199 260112 252329 261800 250100
 252310 151190]"
5,5,[271000 260111 270112 100199 250100 260112 270900 260400 251710]
6,8,"[270112 260111 270900 271000 250100 270119 100199 260400 252100 260112
 151190]"
7,10,[271000 270900 270112 261800 270119 252329 251710]
8,11,[260112 270900 250100]
9,12,"[271000 260111 270900 270112 270210 260400 260600 100199 260112 270119
 250100 252329 151190 252310]"
10,13,[271000 270900 270112 270119 100199]
11,15,[271000 260112 270900 261800 270112 100199 151190 252100]
12,16,[252310 252329]
13,20,[100199 252100 252329 252310]
14,21,[260112 271000 151190]
15,22,"[260111 270112 271000 270210 270119 270900 100199 260112 260600 261800
 250100 151190 252329 252100]"
16,23,[270112 260111 271000 270119 100199 260112 250100 151190]
17,24,[270112 271000]
18,25,[271000 270900 260112 252310 252329]
19,26,[271000 270119 100199 270112 252310 151190 261800]
20,27,[271000 252329 270119 100199]
21,28,[270119 271000 270900 270112 251710]
22,29,[270112 271000 151190]
23,30,[151190]
24,31,[271000 270900 252329 100199 151190]
25,34,[271000 100199]
26,35,[270210 271000 270119 270900 270112 151190]
27,36,[271000 270119 252329]
28,38,[271000 270119 252310 261800 252100 251710 270112 151190 250100]
29,39,[271000 270900 252310]
30,40,[271000 270900 252329 252310]
31,41,[271000]
32,42,[271000]
33,43,[100199 252329 252310]
34,44,[271000 252329 251710]
35,45,[271000 252329 251710]
36,46,[271000]
